,PREC,TA,Rg,VPD,RH,PA,TS_0.05,TS_0.15,TS_0.30,WFPS_0.05,WFPS_0.15,WFPS_0.30,target,veg.height,lai,.ploughing,.soilprep,.ploughing+soilprep,.Norg,.Nmin,.Norg+Nmin,.harvest,.sowing,.MGMT,.daynight,.timesince_PREC,.timesince_.MGMT,.timesince_.ploughing,.timesince_.soilprep,.timesince_.Norg,.timesince_.Nmin,.timesince_.harvest,.timesince_.sowing,.timesince_.ploughing+soilprep,.timesince_.Norg+Nmin,.PREC.r-mean6,.TA.r-mean6,.Rg.r-mean6,.VPD.r-mean6,.RH.r-mean6,.PA.r-mean6,.TS_0.05.r-mean6,.TS_0.15.r-mean6,.TS_0.30.r-mean6,.WFPS_0.05.r-mean6,.WFPS_0.15.r-mean6,.WFPS_0.30.r-mean6,..PREC.r-mean6+6,..PREC.r-mean6+12,..PREC.r-mean6+18,..PREC.r-mean6+24,..TA.r-mean6+6,..TA.r-mean6+12,..TA.r-mean6+18,..TA.r-mean6+24,..Rg.r-mean6+6,..Rg.r-mean6+12,..Rg.r-mean6+18,..Rg.r-mean6+24,..VPD.r-mean6+6,..VPD.r-mean6+12,..VPD.r-mean6+18,..VPD.r-mean6+24,..RH.r-mean6+6,..RH.r-mean6+12,..RH.r-mean6+18,..RH.r-mean6+24,..PA.r-mean6+6,..PA.r-mean6+12,..PA.r-mean6+18,..PA.r-mean6+24,..TS_0.05.r-mean6+6,..TS_0.05.r-mean6+12,..TS_0.05.r-mean6+18,..TS_0.05.r-mean6+24,..TS_0.15.r-mean6+6,..TS_0.15.r-mean6+12,..TS_0.15.r-mean6+18,..TS_0.15.r-mean6+24,..TS_0.30.r-mean6+6,..TS_0.30.r-mean6+12,..TS_0.30.r-mean6+18,..TS_0.30.r-mean6+24,..WFPS_0.05.r-mean6+6,..WFPS_0.05.r-mean6+12,..WFPS_0.05.r-mean6+18,..WFPS_0.05.r-mean6+24,..WFPS_0.15.r-mean6+6,..WFPS_0.15.r-mean6+12,..WFPS_0.15.r-mean6+18,..WFPS_0.15.r-mean6+24,..WFPS_0.30.r-mean6+6,..WFPS_0.30.r-mean6+12,..WFPS_0.30.r-mean6+18,..WFPS_0.30.r-mean6+24,.DOY,.WEEK,.MONTH,.HOUR
2019-05-10 17:15:00,0.0,15.8333333333333,204.333333333333,735.342,59.0,95.6433333333333,16.3666666666667,14.4,11.7333333333333,56.604468707483,,,-4.1193224,1.1297159453196,0.0699699248120301,0,0,0,0,0,0,0,0,0,1.0,19.0,811,835,835,835,835,835,811,835,835,0.0,15.9611111111111,384.8333333333335,751.692,58.461111111111116,95.66833333333331,16.183333333333348,13.94444444444445,11.355555555555553,56.83231562736205,,,0.0,,,,14.71666666666665,,,,693.7499999999998,,,,570.40525,,,,65.94166833333333,,,,95.725,,,,15.133333333333326,,,,12.45833333333335,,,,10.591666666666676,,,,57.37200425170067,,,,,,,,,,,,130,19,5,17
2019-05-10 17:45:00,0.0,15.5666666666667,157.333333333333,667.06,62.1666666666667,95.6266666666667,16.2,14.4666666666667,11.8666666666667,56.5545633786848,,,-0.56274252,1.14154981614471,0.0706766917293233,0,0,0,0,0,0,0,0,0,1.0,20.0,812,836,836,836,836,836,812,836,836,0.0,15.977777777777767,333.22222222222234,748.5095,58.683333333333344,95.65388888888889,16.222222222222232,14.122222222222232,11.511111111111118,56.741246164021156,,,0.0,,,,14.86666666666666,,,,648.3999999999999,,,,593.5552,,,,64.92000133333332,,,,95.72266666666665,,,,15.3,,,,12.646666666666679,,,,10.66,,,,57.31779943310657,,,,,,,,,,,,130,19,5,17
2019-05-10 18:15:00,0.0,15.5333333333333,109.333333333333,658.012,62.6,95.63,16.0333333333333,14.5,12.0666666666667,56.4879408163265,,,,1.15339245519563,0.0713834586466165,0,0,0,0,0,0,0,0,0,1.0,21.0,813,837,837,837,837,837,813,837,837,0.0,15.916666666666648,259.5,736.4986666666667,59.20555555555557,95.6461111111111,16.233333333333334,14.261111111111115,11.666666666666684,56.6596950680272,,,0.0,,,,15.038888888888884,,,,632.2777777777777,,,,616.3088333333334,,,,64.01111222222222,,,,95.71499999999999,,,,15.411111111111117,,,,12.816666666666684,,,,10.738888888888882,,,,57.26104075963718,,,,,,,,,,,,130,19,5,18
2019-05-10 18:45:00,0.0,15.5666666666667,53.0,625.92,64.5,95.65,15.8333333333333,14.5,12.1666666666667,56.4962753968254,,,,1.1652438722211,0.0720902255639098,0,0,0,0,0,0,0,0,0,1.0,22.0,814,838,838,838,838,838,814,838,838,0.0,15.772222222222217,174.55555555555551,707.7845000000001,60.427777777777784,95.645,16.188888888888883,14.361111111111116,11.811111111111133,56.59329484126983,,,0.0,,,,15.45555555555555,,,,613.6666666666666,,,,668.5905,,,,61.96111222222222,,,,95.70222222222223,,,,15.716666666666669,,,,13.161111111111133,,,,10.883333333333333,,,,57.15964671201814,,,,,,,,,,,,130,19,5,18
2019-05-10 19:15:00,0.0,14.6333333333333,20.3333333333333,448.31,73.0,95.67,15.6333333333333,14.5,12.2333333333333,56.4212461451247,,,,1.17710407698433,0.072796992481203,0,0,0,0,0,0,0,0,0,1.0,23.0,815,839,839,839,839,839,815,839,839,0.0,15.511111111111099,125.33333333333321,649.494,63.17222222222224,95.64555555555556,16.077777777777765,14.433333333333332,11.938888888888899,56.53508698034769,,,0.0,,,,15.70555555555555,,,,532.0555555555557,,,,713.5886666666667,,,,59.99444555555555,,,,95.69222222222221,,,,15.961111111111117,,,,13.461111111111135,,,,11.04444444444445,,,,57.049821938775494,,,,,,,,,,,,130,19,5,19
2019-05-10 19:45:00,0.0,13.6666666666667,1.0,350.904,77.5,95.7,15.4,14.4,12.3,56.4879227891156,,,,1.188973079263,0.0735037593984962,0,0,0,0,0,0,0,0,0,1.0,24.0,816,840,840,840,840,840,816,840,840,0.0,15.133333333333333,90.8888888888887,580.9246666666667,66.46111111111112,95.65333333333332,15.911111111111103,14.461111111111117,12.061111111111117,56.508736205593344,,,0.0,0.0,,,15.877777777777766,14.5111111111111,,,465.6666666666668,695.2222222222221,,,741.0723333333334,536.6656666666667,,,58.85,67.47778,,,95.67999999999999,95.7288888888889,,,16.10555555555557,14.877777777777766,,,13.722222222222234,12.255555555555567,,,11.19444444444445,10.533333333333333,,,56.94110984504912,57.41026099773243,,,,,,,,,,,130,19,5,19
2019-05-10 20:15:00,0.136,12.6666666666667,0.0,206.97,85.8333333333333,95.7333333333333,15.1,14.3333333333333,12.3666666666667,56.5212731292517,,,,1.20085088884931,0.0742105263157895,0,0,0,0,0,0,0,0,0,0.0,0.0,817,841,841,841,841,841,817,841,841,0.02266666666666667,14.605555555555567,56.83333333333322,492.86266666666666,70.93333333333334,95.66833333333334,15.699999999999983,14.450000000000001,12.166666666666684,56.494870275888125,,,0.0,0.0,,,15.9611111111111,14.71666666666665,,,384.8333333333335,693.7499999999998,,,751.692,570.40525,,,58.461111111111116,65.94166833333333,,,95.66833333333331,95.725,,,16.183333333333348,15.133333333333326,,,13.94444444444445,12.45833333333335,,,11.355555555555553,10.591666666666676,,,56.83231562736205,57.37200425170067,,,,,,,,,,,130,19,5,20
2019-05-10 20:45:00,0.0,12.5333333333333,0.0,194.547,86.5666666666667,95.7066666666667,14.8,14.2,12.4666666666667,56.5712024943311,,,,1.21273751555,0.0749172932330827,0,0,0,0,0,0,0,0,0,0.0,1.0,818,842,842,842,842,842,818,842,842,0.02266666666666667,14.1,30.611111111111047,414.11049999999994,75.0,95.68166666666667,15.466666666666649,14.405555555555551,12.266666666666682,56.49764346182917,,,0.0,0.0,,,15.977777777777767,14.86666666666666,,,333.22222222222234,648.3999999999999,,,748.5095,593.5552,,,58.683333333333344,64.92000133333332,,,95.65388888888889,95.72266666666665,,,16.222222222222232,15.3,,,14.122222222222232,12.646666666666679,,,11.511111111111118,10.66,,,56.741246164021156,57.31779943310657,,,,,,,,,,,130,19,5,20
2019-05-10 21:15:00,0.0,12.6666666666667,0.0,204.048,86.0333333333333,95.7366666666667,14.5666666666667,14.1,12.5,56.5045979591837,,,2.30637,1.22463296918638,0.0756240601503759,0,0,0,0,0,0,0,0,0,0.0,2.0,819,843,843,843,843,843,819,843,843,0.02266666666666667,13.622222222222232,12.388888888888884,338.44983333333334,78.90555555555555,95.69944444444445,15.222222222222216,14.338888888888883,12.338888888888901,56.50041965230537,,,0.0,0.0,,,15.916666666666648,15.038888888888884,,,259.5,632.2777777777777,,,736.4986666666667,616.3088333333334,,,59.20555555555557,64.01111222222222,,,95.6461111111111,95.71499999999999,,,16.233333333333334,15.411111111111117,,,14.261111111111115,12.816666666666684,,,11.666666666666684,10.738888888888882,,,56.6596950680272,57.26104075963718,,,,,,,,,,,130,19,5,21
2019-05-10 21:45:00,0.0,12.0333333333333,0.0,163.962,88.3,95.7433333333333,14.2666666666667,13.9666666666667,12.6,56.4462739229025,,,,1.23653725959434,0.0763308270676692,0,0,0,0,0,0,0,0,0,0.0,3.0,820,844,844,844,844,844,820,844,844,0.02266666666666667,13.033333333333333,3.55555555555555,261.45683333333335,82.87222222222222,95.71499999999999,14.961111111111116,14.25,12.411111111111117,56.49208607331821,,,0.0,0.0,,,15.772222222222217,15.45555555555555,,,174.55555555555551,613.6666666666666,,,707.7845000000001,668.5905,,,60.427777777777784,61.96111222222222,,,95.645,95.70222222222223,,,16.188888888888883,15.716666666666669,,,14.361111111111116,13.161111111111133,,,11.811111111111133,10.883333333333333,,,56.59329484126983,57.15964671201814,,,,,,,,,,,130,19,5,21
2019-05-10 22:15:00,0.0,11.3333333333333,0.0,112.394,91.6,95.7333333333333,14.0,13.7333333333333,12.6,56.3962183673469,,,,1.24845039662438,0.0770375939849624,0,0,0,0,0,0,0,0,0,0.0,4.0,821,845,845,845,845,845,821,845,845,0.02266666666666667,12.483333333333333,0.16666666666666666,205.47083333333333,85.97222222222221,95.72555555555556,14.688888888888899,14.122222222222218,12.472222222222234,56.487914777021906,,,0.0,0.0,,,15.511111111111099,15.70555555555555,,,125.33333333333321,532.0555555555557,,,649.494,713.5886666666667,,,63.17222222222224,59.99444555555555,,,95.64555555555556,95.69222222222221,,,16.077777777777765,15.961111111111117,,,14.433333333333332,13.461111111111135,,,11.938888888888899,11.04444444444445,,,56.53508698034769,57.049821938775494,,,,,,,,,,,130,19,5,22
2019-05-10 22:45:00,0.0,10.9666666666667,0.0,75.7399,94.2,95.7166666666666,13.6666666666667,13.6,12.5333333333333,56.3628199546485,,,,1.26037239014168,0.0777443609022556,0,0,0,0,0,0,0,0,0,0.0,5.0,822,846,846,846,846,846,822,846,846,0.02266666666666667,12.033333333333333,0.0,159.61015,88.75555555555555,95.72833333333331,14.400000000000015,13.988888888888882,12.511111111111115,56.46706430461072,,,0.0,0.0,0.0,,15.133333333333333,15.877777777777766,14.5111111111111,,90.8888888888887,465.6666666666668,695.2222222222221,,580.9246666666667,741.0723333333334,536.6656666666667,,66.46111111111112,58.85,67.47778,,95.65333333333332,95.67999999999999,95.7288888888889,,15.911111111111103,16.10555555555557,14.877777777777766,,14.461111111111117,13.722222222222234,12.255555555555567,,12.061111111111117,11.19444444444445,10.533333333333333,,56.508736205593344,56.94110984504912,57.41026099773243,,,,,,,,,,130,19,5,22
2019-05-10 23:15:00,0.0,10.7333333333333,0.0,67.2873,94.7666666666667,95.71,13.4,13.4666666666667,12.5333333333333,56.3711785714286,,,,1.27230325002605,0.0784511278195489,0,0,0,0,0,0,0,0,0,0.0,6.0,823,847,847,847,847,847,823,847,847,0.0,11.7111111111111,0.0,136.3297,90.24444444444445,95.72444444444443,14.116666666666683,13.84444444444445,12.538888888888884,56.44204854497355,,,0.02266666666666667,0.0,0.0,,14.605555555555567,15.9611111111111,14.71666666666665,,56.83333333333322,384.8333333333335,693.7499999999998,,492.86266666666666,751.692,570.40525,,70.93333333333334,58.461111111111116,65.94166833333333,,95.66833333333334,95.66833333333331,95.725,,15.699999999999983,16.183333333333348,15.133333333333326,,14.450000000000001,13.94444444444445,12.45833333333335,,12.166666666666684,11.355555555555553,10.591666666666676,,56.494870275888125,56.83231562736205,57.37200425170067,,,,,,,,,,130,19,5,23
2019-05-10 23:45:00,0.0,9.9,0.0,48.2392,96.0333333333334,95.68,13.2,13.3,12.5333333333333,56.3544613378685,,,,1.28424298617205,0.0791578947368421,0,0,0,0,0,0,0,0,0,0.0,7.0,824,848,848,848,848,848,824,848,848,0.0,11.272222222222217,0.0,111.94506666666666,91.82222222222224,95.71999999999998,13.850000000000017,13.69444444444445,12.549999999999983,56.40592501889645,,,0.02266666666666667,0.0,0.0,,14.1,15.977777777777767,14.86666666666666,,30.611111111111047,333.22222222222234,648.3999999999999,,414.11049999999994,748.5095,593.5552,,75.0,58.683333333333344,64.92000133333332,,95.68166666666667,95.65388888888889,95.72266666666665,,15.466666666666649,16.222222222222232,15.3,,14.405555555555551,14.122222222222232,12.646666666666679,,12.266666666666682,11.511111111111118,10.66,,56.49764346182917,56.741246164021156,57.31779943310657,,,,,,,,,,130,19,5,23
2019-05-11 00:15:00,0.017,10.0333333333333,0.0,74.4397,93.9333333333333,95.6566666666667,12.8666666666667,13.1333333333333,12.4666666666667,56.3043276643991,,,,1.29619160848892,0.0798646616541353,0,0,0,0,0,0,0,0,0,0.0,0.0,825,849,849,849,849,849,825,849,849,0.0028333333333333335,10.833333333333316,0.0,90.34368333333333,93.1388888888889,95.70666666666665,13.566666666666682,13.533333333333333,12.544444444444432,56.372546636432354,,,0.02266666666666667,0.0,0.0,,13.622222222222232,15.916666666666648,15.038888888888884,,12.388888888888884,259.5,632.2777777777777,,338.44983333333334,736.4986666666667,616.3088333333334,,78.90555555555555,59.20555555555557,64.01111222222222,,95.69944444444445,95.6461111111111,95.71499999999999,,15.222222222222216,16.233333333333334,15.411111111111117,,14.338888888888883,14.261111111111115,12.816666666666684,,12.338888888888901,11.666666666666684,10.738888888888882,,56.50041965230537,56.6596950680272,57.26104075963718,,,,,,,,,,131,19,5,0
2019-05-11 00:45:00,0.0,9.4,0.0,31.7507,97.3,95.61,12.6,12.9333333333333,12.4666666666667,56.270875170068,,,,1.30814912690068,0.0805714285714286,0,0,0,0,0,0,0,0,0,0.0,1.0,826,850,850,850,850,850,826,850,850,0.0028333333333333335,10.394444444444433,0.0,68.30846666666666,94.6388888888889,95.68444444444442,13.2888888888889,13.3611111111111,12.522222222222217,56.34331351095994,,,0.02266666666666667,0.0,0.0,,13.033333333333333,15.772222222222217,15.45555555555555,,3.55555555555555,174.55555555555551,613.6666666666666,,261.45683333333335,707.7845000000001,668.5905,,82.87222222222222,60.427777777777784,61.96111222222222,,95.71499999999999,95.645,95.70222222222223,,14.961111111111116,16.188888888888883,15.716666666666669,,14.25,14.361111111111116,13.161111111111133,,12.411111111111117,11.811111111111133,10.883333333333333,,56.49208607331821,56.59329484126983,57.15964671201814,,,,,,,,,,131,19,5,0
2019-05-11 01:15:00,0.0,9.4,0.0,40.3743,96.5666666666667,95.5966666666666,12.3666666666667,12.8333333333333,12.4333333333333,56.2792397959184,,,,1.32011555134614,0.0812781954887218,0,0,0,0,0,0,0,0,0,0.0,2.0,827,851,851,851,851,851,827,851,851,0.0028333333333333335,10.072222222222218,0.0,56.30518333333333,95.46666666666668,95.66166666666665,13.016666666666685,13.2111111111111,12.494444444444433,56.32381708238852,,,0.02266666666666667,0.0,0.0,,12.483333333333333,15.511111111111099,15.70555555555555,,0.16666666666666666,125.33333333333321,532.0555555555557,,205.47083333333333,649.494,713.5886666666667,,85.97222222222221,63.17222222222224,59.99444555555555,,95.72555555555556,95.64555555555556,95.69222222222221,,14.688888888888899,16.077777777777765,15.961111111111117,,14.122222222222218,14.433333333333332,13.461111111111135,,12.472222222222234,11.938888888888899,11.04444444444445,,56.487914777021906,56.53508698034769,57.049821938775494,,,,,,,,,,131,19,5,1
