,target,.predictions,.gap_predictions,QCF_target#gfRF,target#gfRF,.predictions_fallback,.gapfilled_cumulative
,-,[aux],[aux],[0=measured],-,[aux],[aux]
2019-05-10 12:45:00,-6.3107556,,,0,-6.3107556,-5.461824184677621,-6.3107556
2019-05-10 13:15:00,-5.498100177,,,0,-5.498100177,-4.165193960679865,-11.808855777000002
2019-05-10 13:45:00,-2.4512803,,,0,-2.4512803,-4.165193960679865,-14.260136077000002
2019-05-10 14:15:00,-1.7102695,,,0,-1.7102695,-3.249668485080572,-15.970405577000003
2019-05-10 14:45:00,-3.713558,,,0,-3.713558,-3.249668485080572,-19.683963577000004
2019-05-10 15:15:00,-5.26725136,,,0,-5.26725136,-4.075151986915361,-24.951214937000003
2019-05-10 15:45:00,-3.071658,,,0,-3.071658,-4.075151986915361,-28.022872937000002
2019-05-10 16:15:00,,,,2,-3.8683701404603568,-3.8683701404603568,-31.89124307746036
2019-05-10 16:45:00,-4.4382714,,,0,-4.4382714,-3.8683701404603568,-36.32951447746036
2019-05-10 17:15:00,-4.1193224,,,0,-4.1193224,-2.3154106149471327,-40.44883687746036
2019-05-10 17:45:00,-0.56274252,,,0,-0.56274252,-2.3154106149471327,-41.01157939746036
2019-05-10 18:15:00,,,,2,-0.002747908100912299,-0.002747908100912299,-41.014327305561274
2019-05-10 18:45:00,,,,2,-0.002747908100912299,-0.002747908100912299,-41.01707521366219
2019-05-10 19:15:00,,,,2,1.4414204966963908,1.4414204966963908,-39.5756547169658
2019-05-10 19:45:00,,1.418099653000007,1.418099653000007,1,1.418099653000007,1.4414204966963908,-38.157555063965795
2019-05-10 20:15:00,,1.4011498478000084,1.4011498478000084,1,1.4011498478000084,1.4296094709857934,-36.75640521616579
2019-05-10 20:45:00,,1.4061633437000085,1.4061633437000085,1,1.4061633437000085,1.4296094709857934,-35.35024187246578
2019-05-10 21:15:00,2.30637,1.397731269300009,,0,2.30637,1.7724089095130466,-33.04387187246578
2019-05-10 21:45:00,,1.3956151027000083,1.3956151027000083,1,1.3956151027000083,1.7724089095130466,-31.64825676976577
2019-05-10 22:15:00,,1.3947112896000078,1.3947112896000078,1,1.3947112896000078,1.451181133970044,-30.253545480165762
2019-05-10 22:45:00,,1.3959178166000081,1.3959178166000081,1,1.3959178166000081,1.451181133970044,-28.857627663565754
2019-05-10 23:15:00,,1.4019615765030071,1.4019615765030071,1,1.4019615765030071,1.3992499066276325,-27.455666087062745
2019-05-10 23:45:00,,1.3857914462000072,1.3857914462000072,1,1.3857914462000072,1.3992499066276325,-26.06987464086274
2019-05-11 00:15:00,,1.3353702867000075,1.3353702867000075,1,1.3353702867000075,0.6431051501858746,-24.73450435416273
2019-05-11 00:45:00,,1.3423113204000077,1.3423113204000077,1,1.3423113204000077,0.6431051501858746,-23.392193033762723
2019-05-11 01:15:00,,1.3812707971000084,1.3812707971000084,1,1.3812707971000084,1.3149552417535653,-22.010922236662715
2019-05-11 01:45:00,,1.3975643818000092,1.3975643818000092,1,1.3975643818000092,1.3149552417535653,-20.613357854862706
2019-05-11 02:15:00,,1.1058496292000062,1.1058496292000062,1,1.1058496292000062,0.7810101464382994,-19.5075082256627
2019-05-11 02:45:00,,0.3652118873999991,0.3652118873999991,1,0.3652118873999991,0.7810101464382994,-19.142296338262703
2019-05-11 03:15:00,,-0.9411328397000006,-0.9411328397000006,1,-0.9411328397000006,-0.7379479201602794,-20.083429177962703
2019-05-11 03:45:00,,-0.9603851464000007,-0.9603851464000007,1,-0.9603851464000007,-0.7379479201602794,-21.043814324362703
2019-05-11 04:15:00,,-0.9687898990900017,-0.9687898990900017,1,-0.9687898990900017,-1.0176622675935227,-22.012604223452705
2019-05-11 04:45:00,,-1.1674900808999962,-1.1674900808999962,1,-1.1674900808999962,-1.0176622675935227,-23.1800943043527
2019-05-11 05:15:00,,-1.2995356430999914,-1.2995356430999914,1,-1.2995356430999914,-1.1911645712639676,-24.47962994745269
2019-05-11 05:45:00,,-1.2668011898999927,-1.2668011898999927,1,-1.2668011898999927,-1.1911645712639676,-25.746431137352683
2019-05-11 06:15:00,,-1.1743798034999955,-1.1743798034999955,1,-1.1743798034999955,-2.186878859404828,-26.92081094085268
2019-05-11 06:45:00,,-2.5003007487999946,-2.5003007487999946,1,-2.5003007487999946,-2.186878859404828,-29.421111689652673
2019-05-11 07:15:00,,-2.69233354111999,-2.69233354111999,1,-2.69233354111999,-4.005895324442375,-32.11344523077266
2019-05-11 07:45:00,,-5.641155415619971,-5.641155415619971,1,-5.641155415619971,-4.005895324442375,-37.75460064639263
2019-05-11 08:15:00,,-8.044844078949987,-8.044844078949987,1,-8.044844078949987,-8.123453774781021,-45.79944472534262
2019-05-11 08:45:00,-9.55863,-9.699075415140074,,0,-9.55863,-8.123453774781021,-55.35807472534262
2019-05-11 09:15:00,-6.1929598,-7.222146425129921,,0,-6.1929598,-4.874072963841777,-61.551034525342615
2019-05-11 09:45:00,,-2.2848001827199855,-2.2848001827199855,1,-2.2848001827199855,-4.874072963841777,-63.8358347080626
2019-05-11 10:15:00,,-6.960072260409927,-6.960072260409927,1,-6.960072260409927,-8.328010906247597,-70.79590696847252
2019-05-11 10:45:00,-10.789172,-9.83784833646,,0,-10.789172,-8.328010906247597,-81.58507896847252
2019-05-11 11:15:00,-7.3291585,-7.605604207709943,,0,-7.3291585,-7.715030174506894,-88.91423746847252
2019-05-11 11:45:00,-7.5981515,-8.032009845430059,,0,-7.5981515,-7.715030174506894,-96.51238896847252
2019-05-11 12:15:00,-12.3700614,-11.469950423390161,,0,-12.3700614,-12.027179109332037,-108.88245036847252
2019-05-11 12:45:00,-12.8568323,-14.280560026660025,,0,-12.8568323,-12.027179109332037,-121.73928266847253
2019-05-11 13:15:00,-9.9626558,-10.813130977360027,,0,-9.9626558,-11.053718806302017,-131.70193846847252
2019-05-11 13:45:00,,-11.47556216217011,-11.47556216217011,1,-11.47556216217011,-11.053718806302017,-143.17750063064264
2019-05-11 14:15:00,-20.689855,-17.476443238060195,,0,-20.689855,-15.296323437065993,-163.86735563064263
2019-05-11 14:45:00,-11.787335,-12.280192998820159,,0,-11.787335,-15.296323437065993,-175.65469063064265
2019-05-11 15:15:00,-13.01340172,-12.541193334319978,,0,-13.01340172,-10.756756021162454,-188.66809235064264
2019-05-11 15:45:00,-9.3693087,-10.036916586861956,,0,-9.3693087,-10.756756021162454,-198.03740105064264
2019-05-11 16:15:00,-2.909433,-3.8677141914399478,,0,-2.909433,-2.8031294461588194,-200.94683405064265
2019-05-11 16:45:00,,-1.3870566170699983,-1.3870566170699983,1,-1.3870566170699983,-2.8031294461588194,-202.33389066771264
2019-05-11 17:15:00,,-0.976365220209994,-0.976365220209994,1,-0.976365220209994,-0.4395085999696134,-203.31025588792264
2019-05-11 17:45:00,0.88358,-0.3665561999700014,,0,0.88358,-0.4395085999696134,-202.42667588792264
2019-05-11 18:15:00,,-0.645829050899995,-0.645829050899995,1,-0.645829050899995,0.04647035961553603,-203.07250493882265
2019-05-11 18:45:00,,-0.4043132208000002,-0.4043132208000002,1,-0.4043132208000002,0.04647035961553603,-203.47681815962264
2019-05-11 19:15:00,,-0.19472676020000101,-0.19472676020000101,1,-0.19472676020000101,-0.30075610155062266,-203.67154491982265
2019-05-11 19:45:00,,-0.4037229140000002,-0.4037229140000002,1,-0.4037229140000002,-0.30075610155062266,-204.07526783382266
2019-05-11 20:15:00,,-0.6799409240999988,-0.6799409240999988,1,-0.6799409240999988,-0.41941836895115936,-204.75520875792267
2019-05-11 20:45:00,,-0.1920212396000013,-0.1920212396000013,1,-0.1920212396000013,-0.41941836895115936,-204.94722999752267
2019-05-11 21:15:00,,-0.41858173510000074,-0.41858173510000074,1,-0.41858173510000074,-0.3100391282531597,-205.36581173262266
2019-05-11 21:45:00,,-0.16008777690000164,-0.16008777690000164,1,-0.16008777690000164,-0.3100391282531597,-205.52589950952267
2019-05-11 22:15:00,,-0.15493981660000172,-0.15493981660000172,1,-0.15493981660000172,-0.2396630754446797,-205.68083932612268
2019-05-11 22:45:00,,-0.3121850463,-0.3121850463,1,-0.3121850463,-0.2396630754446797,-205.99302437242267
