,target,.predictions,.gap_predictions,QCF_target#gfRF,target#gfRF,.predictions_fallback,.gapfilled_cumulative
,-,[aux],[aux],[0=measured],-,[aux],[aux]
2020-05-12 17:15:00,3.63201,,,0,3.63201,3.482913811857115,3.63201
2020-05-12 17:45:00,3.46001,,,0,3.46001,3.482913811857115,7.09202
2020-05-12 18:15:00,3.31674,,,0,3.31674,3.1832581013333643,10.40876
2020-05-12 18:45:00,2.9834,,,0,2.9834,3.1832581013333643,13.392159999999999
2020-05-12 19:15:00,3.2170900000000002,,,0,3.2170900000000002,2.9265111432381334,16.60925
2020-05-12 19:45:00,2.56219,,,0,2.56219,2.9265111432381334,19.17144
2020-05-12 20:15:00,3.66284,,,0,3.66284,3.366221088005705,22.83428
2020-05-12 20:45:00,,,,2,3.366221088005705,3.366221088005705,26.200501088005705
2020-05-12 21:15:00,,,,2,3.243098102787372,3.243098102787372,29.443599190793076
2020-05-12 21:45:00,,,,2,3.243098102787372,3.243098102787372,32.68669729358045
2020-05-12 22:15:00,,,,2,3.1410338268323756,3.1410338268323756,35.82773112041283
2020-05-12 22:45:00,,,,2,3.1410338268323756,3.1410338268323756,38.968764947245205
2020-05-12 23:15:00,,,,2,3.1384772908548726,3.1384772908548726,42.10724223810008
2020-05-12 23:45:00,,,,2,3.1384772908548726,3.1384772908548726,45.24571952895495
2020-05-13 00:15:00,,,,2,1.6817152337928651,1.6817152337928651,46.927434762747815
2020-05-13 00:45:00,,,,2,1.6817152337928651,1.6817152337928651,48.60914999654068
2020-05-13 01:15:00,,,,2,1.6940296365547718,1.6940296365547718,50.30317963309545
2020-05-13 01:45:00,,,,2,1.6940296365547718,1.6940296365547718,51.99720926965023
2020-05-13 02:15:00,1.37793,,,0,1.37793,1.706505003650013,53.37513926965023
2020-05-13 02:45:00,2.03917,,,0,2.03917,1.706505003650013,55.414309269650225
2020-05-13 03:15:00,1.60283,,,0,1.60283,1.641975367316686,57.01713926965022
2020-05-13 03:45:00,,,,2,1.641975367316686,1.641975367316686,58.659114636966905
2020-05-13 04:15:00,2.02695,,,0,2.02695,1.882948025126192,60.686064636966904
2020-05-13 04:45:00,,,,2,1.882948025126192,1.882948025126192,62.569012662093094
2020-05-13 05:15:00,,,,2,1.8868025757932199,1.8868025757932199,64.45581523788631
2020-05-13 05:45:00,,,,2,1.8868025757932199,1.8868025757932199,66.34261781367954
2020-05-13 06:15:00,1.83148,1.7512783000000338,,0,1.83148,1.7086613084215392,68.17409781367954
2020-05-13 06:45:00,1.58157,1.6451163800000332,,0,1.58157,1.7086613084215392,69.75566781367954
2020-05-13 07:15:00,,1.6801226500000244,1.6801226500000244,1,1.6801226500000244,1.7132782908232196,71.43579046367957
2020-05-13 07:45:00,1.7211699999999999,1.760808410000013,,0,1.7211699999999999,1.7132782908232196,73.15696046367957
2020-05-13 08:15:00,2.1959700000000004,1.9287880399999922,,0,2.1959700000000004,1.7449504217908274,75.35293046367957
2020-05-13 08:45:00,1.3131499999999998,1.4514429899999837,,0,1.3131499999999998,1.7449504217908274,76.66608046367956
2020-05-13 09:15:00,1.15426,1.3117046200000098,,0,1.15426,1.3920290334285794,77.82034046367956
2020-05-13 09:45:00,1.5487700000000002,1.520116160000021,,0,1.5487700000000002,1.3920290334285794,79.36911046367956
2020-05-13 10:15:00,1.72216,1.6194237100000162,,0,1.72216,1.573812517702395,81.09127046367956
2020-05-13 10:45:00,1.42495,1.5278470600000154,,0,1.42495,1.573812517702395,82.51622046367956
2020-05-13 11:15:00,1.75377,1.7033903900000136,,0,1.75377,1.7891187754285798,84.26999046367956
2020-05-13 11:45:00,1.8817899999999999,1.7880707699999903,,0,1.8817899999999999,1.7891187754285798,86.15178046367956
2020-05-13 12:15:00,1.6052600000000001,1.678486830000011,,0,1.6052600000000001,1.7088210280476201,87.75704046367956
2020-05-13 12:45:00,1.78812,1.7478837099999898,,0,1.78812,1.7088210280476201,89.54516046367957
2020-05-13 13:15:00,1.87655,1.7716038599999815,,0,1.87655,1.647466987060569,91.42171046367956
2020-05-13 13:45:00,1.41424,1.5350094400000003,,0,1.41424,1.647466987060569,92.83595046367957
2020-05-13 14:15:00,,1.4511973300000014,1.4511973300000014,1,1.4511973300000014,1.3947355108837354,94.28714779367957
2020-05-13 14:45:00,1.28032,1.3549604000000022,,0,1.28032,1.3947355108837354,95.56746779367957
2020-05-13 15:15:00,1.41913,1.4098151999999982,,0,1.41913,1.273830579119878,96.98659779367956
2020-05-13 15:45:00,1.1019700000000001,1.248876000000004,,0,1.1019700000000001,1.273830579119878,98.08856779367956
2020-05-13 16:15:00,1.5209,1.4786563799999923,,0,1.5209,1.5600725896190346,99.60946779367956
2020-05-13 16:45:00,1.65628,1.5628989799999906,,0,1.65628,1.5600725896190346,101.26574779367955
2020-05-13 17:15:00,1.53115,1.542920380000012,,0,1.53115,1.5628871211904807,102.79689779367955
2020-05-13 17:45:00,1.5818500000000002,1.5465234700000172,,0,1.5818500000000002,1.5628871211904807,104.37874779367955
2020-05-13 18:15:00,1.3784699999999999,1.4642142700000202,,0,1.3784699999999999,1.5479554925714225,105.75721779367954
2020-05-13 18:45:00,1.7015,1.6330059499999856,,0,1.7015,1.5479554925714225,107.45871779367954
2020-05-13 19:15:00,1.53664,1.6026043900000069,,0,1.53664,1.7051560908809595,108.99535779367955
2020-05-13 19:45:00,1.93068,1.791579959999992,,0,1.93068,1.7051560908809595,110.92603779367954
2020-05-13 20:15:00,1.5027899999999998,1.4013775399999993,,0,1.5027899999999998,1.3103525838974912,112.42882779367955
