,target,.predictions,.gap_predictions,QCF_target#gfRF,target#gfRF,.predictions_fallback,.gapfilled_cumulative
,-,[aux],[aux],[0=measured],-,[aux],[aux]
2020-05-12 17:45:00,-1.92879,,,0,-1.92879,1.404486132726207,-1.92879
2020-05-12 18:15:00,3.5060700000000002,,,0,3.5060700000000002,2.5047278639950794,1.5772800000000002
2020-05-12 18:45:00,,,,2,2.5047278639950794,2.5047278639950794,4.08200786399508
2020-05-12 19:15:00,1.7894700000000001,,,0,1.7894700000000001,2.176171263000299,5.87147786399508
2020-05-12 19:45:00,,,,2,2.176171263000299,2.176171263000299,8.04764912699538
2020-05-12 20:15:00,,,,2,2.2190094127020163,2.2190094127020163,10.266658539697396
2020-05-12 20:45:00,,,,2,2.2190094127020163,2.2190094127020163,12.485667952399412
2020-05-12 21:15:00,,,,2,1.3953648251394561,1.3953648251394561,13.881032777538868
2020-05-12 21:45:00,,,,2,1.3953648251394561,1.3953648251394561,15.276397602678324
2020-05-12 22:15:00,,,,2,0.8670415750315604,0.8670415750315604,16.143439177709883
2020-05-12 22:45:00,,,,2,0.8670415750315604,0.8670415750315604,17.010480752741444
2020-05-12 23:15:00,,,,2,2.469192399096137,2.469192399096137,19.47967315183758
2020-05-12 23:45:00,,,,2,2.469192399096137,2.469192399096137,21.948865550933718
2020-05-13 00:15:00,,,,2,3.412158667986001,3.412158667986001,25.36102421891972
2020-05-13 00:45:00,,,,2,3.412158667986001,3.412158667986001,28.773182886905722
2020-05-13 01:15:00,,,,2,3.177364853090702,3.177364853090702,31.950547739996424
2020-05-13 01:45:00,,,,2,3.177364853090702,3.177364853090702,35.127912593087125
2020-05-13 02:15:00,,,,2,3.256890469655252,3.256890469655252,38.38480306274238
2020-05-13 02:45:00,3.85723,,,0,3.85723,3.256890469655252,42.24203306274238
2020-05-13 03:15:00,2.18903,,,0,2.18903,3.646352886266301,44.43106306274238
2020-05-13 03:45:00,,,,2,3.646352886266301,3.646352886266301,48.07741594900868
2020-05-13 04:15:00,,,,2,7.606930928408846,7.606930928408846,55.684346877417525
2020-05-13 04:45:00,,,,2,7.606930928408846,7.606930928408846,63.29127780582637
2020-05-13 05:15:00,,,,2,9.731668798658223,9.731668798658223,73.02294660448459
2020-05-13 05:45:00,,,,2,9.731668798658223,9.731668798658223,82.75461540314281
2020-05-13 06:15:00,,,,2,10.617205656004455,10.617205656004455,93.37182105914727
2020-05-13 06:45:00,,10.192061628000003,10.192061628000003,1,10.192061628000003,10.617205656004455,103.56388268714727
2020-05-13 07:15:00,,10.501966202000007,10.501966202000007,1,10.501966202000007,11.7452374555725,114.06584888914728
2020-05-13 07:45:00,13.521500000000001,12.063443980000097,,0,13.521500000000001,11.7452374555725,127.58734888914728
2020-05-13 08:15:00,,10.36373814100005,10.36373814100005,1,10.36373814100005,10.349248312626397,137.95108703014733
2020-05-13 08:45:00,,9.962268329000056,9.962268329000056,1,9.962268329000056,10.349248312626397,147.9133553591474
2020-05-13 09:15:00,,9.336440018000037,9.336440018000037,1,9.336440018000037,9.383212443108219,157.24979537714745
2020-05-13 09:45:00,,9.229524196000025,9.229524196000025,1,9.229524196000025,9.383212443108219,166.47931957314748
2020-05-13 10:15:00,,9.318917887000012,9.318917887000012,1,9.318917887000012,9.804410940139627,175.7982374601475
2020-05-13 10:45:00,10.495000000000001,9.521387410000022,,0,10.495000000000001,9.804410940139627,186.2932374601475
2020-05-13 11:15:00,,8.910814166999991,8.910814166999991,1,8.910814166999991,8.732488769822659,195.2040516271475
2020-05-13 11:45:00,,8.470826429999986,8.470826429999986,1,8.470826429999986,8.732488769822659,203.67487805714748
2020-05-13 12:15:00,,8.501290509999988,8.501290509999988,1,8.501290509999988,8.31828896312319,212.17616856714747
2020-05-13 12:45:00,,8.443620273999997,8.443620273999997,1,8.443620273999997,8.31828896312319,220.61978884114745
2020-05-13 13:15:00,,1.9853887599999784,1.9853887599999784,1,1.9853887599999784,5.153513695683903,222.60517760114743
2020-05-13 13:45:00,,7.274752911999987,7.274752911999987,1,7.274752911999987,5.153513695683903,229.87993051314743
2020-05-13 14:15:00,,7.108723827999989,7.108723827999989,1,7.108723827999989,6.669009310688599,236.98865434114742
2020-05-13 14:45:00,,6.248694688000002,6.248694688000002,1,6.248694688000002,6.669009310688599,243.23734902914742
2020-05-13 15:15:00,,7.102310752000002,7.102310752000002,1,7.102310752000002,6.985467034847845,250.33965978114742
2020-05-13 15:45:00,,6.927763516000008,6.927763516000008,1,6.927763516000008,6.985467034847845,257.26742329714745
2020-05-13 16:15:00,,7.000248576000008,7.000248576000008,1,7.000248576000008,7.024162804819195,264.26767187314744
2020-05-13 16:45:00,,7.106813740000015,7.106813740000015,1,7.106813740000015,7.024162804819195,271.37448561314744
2020-05-13 17:15:00,,6.773010520000017,6.773010520000017,1,6.773010520000017,6.5544041763686876,278.14749613314746
2020-05-13 17:45:00,,6.889378194000013,6.889378194000013,1,6.889378194000013,6.5544041763686876,285.0368743271475
2020-05-13 18:15:00,,6.330215138000022,6.330215138000022,1,6.330215138000022,5.892689655706991,291.3670894651475
2020-05-13 18:45:00,,5.4452168810000225,5.4452168810000225,1,5.4452168810000225,5.892689655706991,296.8123063461475
2020-05-13 19:15:00,,5.653704091000026,5.653704091000026,1,5.653704091000026,5.515409433793346,302.46601043714753
2020-05-13 19:45:00,,5.421657001000026,5.421657001000026,1,5.421657001000026,5.515409433793346,307.88766743814756
2020-05-13 20:15:00,,5.469082631000026,5.469082631000026,1,5.469082631000026,5.52198611649748,313.3567500691476
2020-05-13 20:45:00,,5.7595225200000275,5.7595225200000275,1,5.7595225200000275,5.52198611649748,319.1162725891476
2020-05-13 21:15:00,,1.9802300549999923,1.9802300549999923,1,1.9802300549999923,1.6775732406580415,321.0965026441476
2020-05-13 21:45:00,,0.3749777730000003,0.3749777730000003,1,0.3749777730000003,1.6775732406580415,321.47148041714763
2020-05-13 22:15:00,,-0.11900556699999917,-0.11900556699999917,1,-0.11900556699999917,0.6088897502064926,321.35247485014764
2020-05-13 22:45:00,,0.8579315149999875,0.8579315149999875,1,0.8579315149999875,0.6088897502064926,322.2104063651476
2020-05-13 23:15:00,3.26267,3.6627714320000404,,0,3.26267,3.0815336872138994,325.4730763651476
2020-05-13 23:45:00,,3.511016942000035,3.511016942000035,1,3.511016942000035,3.0815336872138994,328.98409330714765
2020-05-14 00:15:00,,3.3017147910000384,3.3017147910000384,1,3.3017147910000384,3.073477189325921,332.2858080981477
2020-05-14 00:45:00,,3.0405441090000362,3.0405441090000362,1,3.0405441090000362,3.073477189325921,335.32635220714775
2020-05-14 01:15:00,,2.520056890000019,2.520056890000019,1,2.520056890000019,2.3926261947026144,337.8464090971478
2020-05-14 01:45:00,2.0715999999999997,2.3788546100000136,,0,2.0715999999999997,2.3926261947026144,339.9180090971478
2020-05-14 02:15:00,1.3134299999999999,2.1254605599999814,,0,1.3134299999999999,1.8876856959705266,341.23143909714776
2020-05-14 02:45:00,,1.96173248999998,1.96173248999998,1,1.96173248999998,1.8876856959705266,343.19317158714773
2020-05-14 03:15:00,,2.739454291000019,2.739454291000019,1,2.739454291000019,3.383959719150699,345.93262587814775
2020-05-14 03:45:00,,4.151417205000047,4.151417205000047,1,4.151417205000047,3.383959719150699,350.0840430831478
2020-05-14 04:15:00,,4.496200397000047,4.496200397000047,1,4.496200397000047,4.766674830053739,354.58024348014783
2020-05-14 04:45:00,,5.054917594000051,5.054917594000051,1,5.054917594000051,4.766674830053739,359.6351610741479
2020-05-14 05:15:00,,5.489294994000042,5.489294994000042,1,5.489294994000042,5.836840707101451,365.12445606814794
2020-05-14 05:45:00,,6.215361715000038,6.215361715000038,1,6.215361715000038,5.836840707101451,371.33981778314796
2020-05-14 06:15:00,,6.360412075000035,6.360412075000035,1,6.360412075000035,6.399986467334289,377.700229858148
2020-05-14 06:45:00,,6.5022825320000415,6.5022825320000415,1,6.5022825320000415,6.399986467334289,384.20251239014806
2020-05-14 07:15:00,,6.615667835000042,6.615667835000042,1,6.615667835000042,6.6277431212158495,390.8181802251481
2020-05-14 07:45:00,,6.605699933000034,6.605699933000034,1,6.605699933000034,6.6277431212158495,397.42388015814817
2020-05-14 08:15:00,,6.806014155000029,6.806014155000029,1,6.806014155000029,6.861707638493287,404.2298943131482
2020-05-14 08:45:00,,6.934074228000026,6.934074228000026,1,6.934074228000026,6.861707638493287,411.1639685411482
